polis_number,Name,Latitude,Longitude,Hellenicity,Fame,Size,Colonies,Regime,Delian
1,Alalie,42.10240033,9.511828,most Greek,1.12,100-200 km sq,0,,not in Delian League
2,Emporion,42.13342,3.1145495,most barbarian,2.12,25-100 km sq,0,,not in Delian League
3,Massalia,43.296854,5.382499,most Greek,4,25-100 km sq,2,no evidence of democracy,not in Delian League
4,Rhode,42.264882,3.173819,most Greek,0.87,,0,,not in Delian League
5,Abakainon,38.05180997,15.10033293,most barbarian,1,,0,,not in Delian League
6,Adranon,37.6624065,14.8345046,most Greek,1,,0,,not in Delian League
7,Agyrion,37.65624055,14.5259926,most Greek,1.25,,0,no evidence of democracy,not in Delian League
8,Aitna,38.192251,15.556634,most Greek,3.25,200-500 km sq,1,no evidence of democracy,not in Delian League
9,Akragas,37.29289215,13.58945448,most Greek,6.37,500 km sq or more,0,evidence of democracy,not in Delian League
10,Akrai,37.05836322,14.8963139,most Greek,1.25,,0,,not in Delian League
11,Alaisa,37.99808,14.262968,most barbarian,0.87,,0,,not in Delian League
12,Alontion,38.071898,14.700314,,0.5,,0,,not in Delian League
13,Apollonia,38.02622477,14.59671067,most Greek,0.37,,0,no evidence of democracy,not in Delian League
14,Engyon,37.786715,14.591438,most Greek,0.62,,0,no evidence of democracy,not in Delian League
15,Euboia,37.1547375,14.6996988,most Greek,1,,0,,not in Delian League
16,Galeria,,,most barbarian,0.5,,0,,not in Delian League
17,Gela,37.0630925,14.2584705,most Greek,5.12,200-500 km sq,3,evidence of democracy,not in Delian League
18,Heloros (or Heloron? Or Ailoros?),36.84147655,15.10736185,most Greek,1.75,,0,,not in Delian League
19,Henna,37.567652,14.279558,most barbarian,1.37,,0,no evidence of democracy,not in Delian League
20,Herakleia,37.394042,13.280904,most Greek,2.12,,0,,not in Delian League
21,Herakleia,,,most Greek,0.75,,0,,not in Delian League
22,Herbessos,37.4276413,14.30042355,,0.62,,0,,not in Delian League
23,Herbita,37.7569858,14.1735113,,1,,1,no evidence of democracy,not in Delian League
24,Himera,37.970797,13.822496,most Greek,5,500 km sq or more,0,evidence of democracy,not in Delian League
25,Hippana,37.71197255,13.4342707,most barbarian,0.62,,0,,not in Delian League
26,Imachara,37.748625,14.398112,most barbarian,0.5,,0,,not in Delian League
27,Kallipolis,,,most Greek,0.75,,0,,not in Delian League
28,Kamarina,36.8602887,14.46942038,most Greek,5.62,200-500 km sq,1,evidence of democracy,not in Delian League
29,Kasmenai,37.073804,14.8362835,most Greek,1.62,,0,,not in Delian League
30,Katane,37.50521085,15.0866236,most Greek,3.75,200-500 km sq,1,no evidence of democracy,not in Delian League
31,Kentoripa,37.624073,14.740017,,1.12,200-500 km sq,0,no evidence of democracy,not in Delian League
32,Kephaloidion,38.03814,14.025568,,1.12,200-500 km sq,0,,not in Delian League
33,Leontinoi,37.285478,14.998115,most Greek,4,200-500 km sq,1,evidence of democracy,not in Delian League
34,Lipara,38.46740105,14.9539573,most Greek,2.25,25-100 km sq,0,,not in Delian League
35,Longane,38.082515,15.168053,most barbarian,0.75,,0,,not in Delian League
36,Megara (Hyblaia),37.203717,15.181777,most Greek,3.37,200-500 km sq,1,,not in Delian League
37,Morgantina,37.43067477,14.47944927,most barbarian,5.12,200-500 km sq,0,,not in Delian League
38,Mylai,38.219365,15.240385,most Greek,3,25-100 km sq,0,,not in Delian League
39,Mytistratos,37.6042569,13.93401535,most barbarian,0.62,,0,,not in Delian League
40,Nakone,38.192251,15.556634,most barbarian,0.37,,0,,not in Delian League
41,Naxos,37.82248715,15.2677947,most Greek,5,200-500 km sq,3,,not in Delian League
42,Petra,37.677368,13.598601,,0.25,,0,,not in Delian League
43,Piakos,37.329954,14.697361,,0.37,,0,,not in Delian League
44,Selinous,37.57293672,12.87291177,most Greek,7.62,500 km sq or more,1,evidence of democracy,not in Delian League
45,Sileraioi,,,,0.12,,0,,not in Delian League
46,Stielanaioi,37.16666667,14.91666667,,0.5,,0,,not in Delian League
47,Syrakousai,37.0738645,15.27188693,most Greek,12,500 km sq or more,21,evidence of democracy,not in Delian League
48,Tauromenion,37.85288593,15.2912763,,3.25,200-500 km sq,0,no evidence of democracy,not in Delian League
49,Tyndaris,38.1429694,15.0438364,most Greek,2,,0,,not in Delian League
50,Tyrrhenoi,,,,0.25,,0,,not in Delian League
51,Zankle/Messana,38.192251,15.555634,most Greek,4.62,200-500 km sq,2,no evidence of democracy,not in Delian League
52,Herakleia,40.213021,16.678299,most Greek,3.62,200-500 km sq,0,no evidence of democracy,not in Delian League
53,Hipponion,38.675581,16.097648,most Greek,3.5,100-200 km sq,1,,not in Delian League
54,Hyele/Elea,40.1616915,15.1568265,most Greek,3.5,25-100 km sq,0,no evidence of democracy,not in Delian League
55,Kaulonia,38.4468869,16.57894258,most Greek,3.25,100-200 km sq,0,no evidence of democracy,not in Delian League
56,Kroton,39.0811675,17.127966,most Greek,7,200-500 km sq,2,evidence of democracy,not in Delian League
57,Kyme,40.75,13.75,most Greek,4.75,200-500 km sq,5,no evidence of democracy,not in Delian League
58,Laos,39.767685,15.8244,most Greek,2.12,25-100 km sq,0,,not in Delian League
59,Lokroi,38.21607002,16.2401691,most Greek,8.37,100-200 km sq,5,evidence of democracy,not in Delian League
60,Medma,38.487328,15.976368,most Greek,3,25-100 km sq,1,,not in Delian League
61,Metapontion,40.38362725,16.82523365,most Greek,5,200-500 km sq,0,evidence of democracy,not in Delian League
62,Metauros,38.425,15.89985,most Greek,1.5,0-25 km sq,0,,not in Delian League
63,Neapolis,40.839995,14.25287,most Greek,4.5,0-25 km sq,0,evidence of democracy,not in Delian League
64,Pandosia,39.308789,16.1942468,most Greek,1,,0,,not in Delian League
65,Pithekoussai,40.7548833,13.88662975,most Greek,2.75,0-25 km sq,1,,not in Delian League
66,Poseidonia,40.42064875,15.00532475,most Greek,4.87,200-500 km sq,0,,not in Delian League
67,Pyxous,40.083851,15.511849,most Greek,1.5,,0,,not in Delian League
68,Rhegion,38.11070795,15.6470268,most Greek,5.25,500 km sq or more,2,evidence of democracy,not in Delian League
69,Siris,40.149042,16.54137,most Greek,4.5,200-500 km sq,0,,not in Delian League
70,Sybaris,39.590607,16.771002,most Greek,7.12,500 km sq or more,4,no evidence of democracy,not in Delian League
71,Taras,40.4709405,17.2371455,most Greek,7.12,200-500 km sq,1,evidence of democracy,not in Delian League
72,Temesa,39.036454,16.159633,most barbarian,1.87,,0,,not in Delian League
73,Terina,38.944865,16.238922,most Greek,1.87,,0,,not in Delian League
74,Thourioi,39.715694,16.490886,most Greek,5,100-200 km sq,1,evidence of democracy,not in Delian League
75,Adria,45.08333333,12.08333333,most barbarian,1.5,,0,,not in Delian League
76,Ankon,43.62038265,13.5153199,most barbarian,1,,0,,not in Delian League
77,Apollonia,40.7339195,19.462878,most Greek,3.12,500 km sq or more,0,evidence of democracy,not in Delian League
78,Brentesion,40.638663,17.9429115,most barbarian,0.75,200-500 km sq,0,,not in Delian League
79,Epidamnos/Dyrrhachion,41.3150226,19.44663007,most Greek,3,200-500 km sq,0,evidence of democracy,not in Delian League
80,Herakleia,,,most Greek,0.5,,0,,not in Delian League
81,Issa,43.04693917,16.15734235,most Greek,1.62,100-200 km sq,1,,not in Delian League
82,Lissos,41.7829405,19.643916,most barbarian,0.75,,0,,not in Delian League
83,Melaina Korkyra,42.960475,17.135602,most Greek,1.37,200-500 km sq,0,,not in Delian League
84,Pharos,43.184286,16.601041,most Greek,1.25,0-25 km sq,0,,not in Delian League
85,Spina,44.697575,12.108186,most barbarian,1.25,,0,,not in Delian League
86,Amantia,40.467944,19.61777,most Greek,0.62,200-500 km sq,0,,not in Delian League
87,Artichia,,,most Greek,0.12,,0,,not in Delian League
88,Batiai,39.224419,20.827781,most Greek,0.62,0-25 km sq,0,,not in Delian League
89,Berenike,39.103467,20.642528,most Greek,0.25,,0,,not in Delian League
90,Boucheta,39.160816,20.850515,most Greek,0.75,0-25 km sq,0,,not in Delian League
91,Bouthroton,39.74585047,20.02166127,most Greek,1.25,200-500 km sq,0,,not in Delian League
92,Byllis,40.5451505,19.7354265,most Greek,0.75,500 km sq or more,0,,not in Delian League
93,Dodone,39.54638507,20.78936797,most Greek,0.87,,0,,not in Delian League
94,Elateia,39.25,20.75,most Greek,0.62,,0,,not in Delian League
95,Elea,39.44266905,20.55559715,most Greek,0.75,,0,,not in Delian League
96,Ephyra,39.246912,20.527922,most Greek,0.62,,0,,not in Delian League
97,Eurymenai,39.630469,20.919605,most Greek,0.37,,0,,not in Delian League
98,Gitana,39.5698787,20.26502743,most Greek,0.75,,0,,not in Delian League
99,Horraon,39.271716,20.92464,most Greek,0.5,,0,,not in Delian League
100,Kassopa,39.142775,20.681592,most Greek,1.37,500 km sq or more,0,,not in Delian League
101,Nikaia,40.949933,20.016756,most Greek,0.37,,0,,not in Delian League
102,Olympa,40.41666667,19.58333333,most Greek,0.5,,0,,not in Delian League
103,Orikos,40.323256,19.4518165,most Greek,0.5,,0,,not in Delian League
104,Pandosia,39.27839455,20.67768675,most Greek,1.37,,0,,not in Delian League
105,Passaron,39.7330065,20.752394,most Greek,0.75,,0,,not in Delian League
106,Phanote,39.658537,20.495153,most Greek,0.37,,0,,not in Delian League
107,Phoinike,39.913118,20.057154,most Greek,0.37,,0,,not in Delian League
108,Poionos,,,most Greek,0.25,,0,,not in Delian League
109,Tekmon,39.66666667,20.91666667,most Greek,0.5,,0,,not in Delian League
110,Torone,39.517533,20.179996,most Greek,0.62,0-25 km sq,0,,not in Delian League
111,Zmaratha,,,most Greek,0.12,,0,,not in Delian League
112,Alyzeia,38.713373,20.951657,most Greek,1.37,25-100 km sq,0,,not in Delian League
113,Ambrakia,39.1549245,20.9900925,most Greek,3.37,200-500 km sq,1,evidence of democracy,not in Delian League
114,Anaktorion,38.920935,20.843498,most Greek,1.75,25-100 km sq,0,,not in Delian League
115,Argos,38.935912,21.1802673,most Greek,1.62,100-200 km sq,0,,not in Delian League
116,Astakos,38.547154,21.087253,most Greek,1.12,25-100 km sq,0,no evidence of democracy,not in Delian League
117,Derion,38.635383,21.189842,most Greek,0.75,0-25 km sq,0,,not in Delian League
118,Echinos,38.908266,20.9101152,most Greek,1.12,0-25 km sq,0,,not in Delian League
119,Euripos,38.918227,20.99807,most Greek,0.62,0-25 km sq,0,,not in Delian League
120,Herakleia,38.900074,20.935709,most Greek,0.37,0-25 km sq,0,,not in Delian League
121,Hyporeiai,,,most Greek,0.37,,0,,not in Delian League
122,Ithaka,38.44193,20.638399,most Greek,1.5,25-100 km sq,0,,not in Delian League
123,Korkyra,39.60444,19.924457,most Greek,5.12,500 km sq or more,1,evidence of democracy,not in Delian League
124,Koronta,38.588086,21.159936,most Greek,0.87,25-100 km sq,0,,not in Delian League
125,Kranioi,38.168492,20.516369,most Greek,2.62,25-100 km sq,0,,not in Delian League
126,Leukas,38.807342,20.713116,most Greek,3,200-500 km sq,0,evidence of democracy,not in Delian League
127,Limnaia,38.857304,21.172398,most Greek,0.75,25-100 km sq,0,,not in Delian League
128,Matropolis,38.58333333,21.25,most Greek,0.87,25-100 km sq,0,,not in Delian League
129,Medion,38.782497,21.125024,most Greek,0.87,25-100 km sq,0,,not in Delian League
130,Oiniadai,38.4070675,21.196384,most Greek,1.62,100-200 km sq,0,,not in Delian League
131,Palairos,38.8337485,20.827043,most Greek,1.37,25-100 km sq,0,,not in Delian League
132,Paleis,38.222555,20.437481,most Greek,1,25-100 km sq,0,,not in Delian League
133,Phara,38.638652,20.605863,most Greek,0.25,,0,,not in Delian League
134,Phoitiai,38.686998,21.143392,most Greek,1,25-100 km sq,0,,not in Delian League
135,Pronnoi,38.145962,20.776722,most Greek,1,25-100 km sq,0,,not in Delian League
136,Same,38.254596,20.658925,most Greek,1,25-100 km sq,0,,not in Delian League
137,Sollion,38.135248,20.672977,most Greek,0.5,,0,,not in Delian League
138,Stratos,38.6722238,21.31843377,most Greek,1.75,25-100 km sq,0,,not in Delian League
139,Thyrreion,38.854918,20.980902,most Greek,1.37,25-100 km sq,0,,not in Delian League
140,Torybeia,38.763022,21.06285,most Greek,1,25-100 km sq,0,,not in Delian League
141,Zakynthos,37.787178,20.892091,most Greek,2,200-500 km sq,0,evidence of democracy,not in Delian League
142,Agrinion,38.64005483,21.37583553,most Greek,0.5,25-100 km sq,0,,not in Delian League
143,Aigition,38.49411305,22.1721334,most Greek,0.5,,0,,not in Delian League
144,Akripos,36.815804,27.092059,most Greek,0.25,,0,,not in Delian League
145,Chalkis,38.3489753,21.6210147,most Greek,0.87,0-25 km sq,1,,not in Delian League
146,Halikyrna,38.387478,21.502502,most Greek,0.25,0-25 km sq,0,,not in Delian League
147,Kallion/Kallipolis,38.5489459,22.1673488,most Greek,0.87,,0,,not in Delian League
148,Kalydon,38.372926,21.5331825,most Greek,1.5,25-100 km sq,0,,not in Delian League
149,Makynea,38.355157,21.726328,most Greek,0.5,0-25 km sq,0,,not in Delian League
150,Molykreion,38.388044,21.757727,most Greek,0.87,0-25 km sq,0,,not in Delian League
151,Phola,,,most Greek,0.25,,0,,not in Delian League
152,Phylea,,,most Greek,0.12,,0,,not in Delian League
153,Pleuron,38.41666667,21.41666667,most Greek,0.75,25-100 km sq,0,,not in Delian League
154,Proschion,38.75,21.25,most Greek,0.5,,0,,not in Delian League
155,Therminea,,,most Greek,0.12,,0,,not in Delian League
156,Trichoneion,38.52448,21.520665,most Greek,0.62,200-500 km sq,0,,not in Delian League
157,Alpa,38.4232,22.145795,most Greek,0.62,,0,,not in Delian League
158,Amphissa,38.518403,22.374172,most Greek,1.62,25-100 km sq,0,,not in Delian League
159,Chaleion,38.378004,22.38728,most Greek,0.75,25-100 km sq,1,no evidence of democracy,not in Delian League
160,Hyaia,,,most Greek,0.87,,0,,not in Delian League
161,Hypnia,38.471904,22.373892,most Greek,0.37,0-25 km sq,0,,not in Delian League
162,Issioi,,,most Greek,0.37,,0,,not in Delian League
163,Messapioi,38.4012,23.413552,most Greek,0.5,,0,,not in Delian League
164,Myania,38.478043,22.357743,most Greek,0.5,0-25 km sq,0,,not in Delian League
165,Naupaktos,38.399726,21.831267,most Greek,1.62,25-100 km sq,1,,not in Delian League
166,Oianthea,38.342137,22.191004,most Greek,0.62,,0,no evidence of democracy,not in Delian League
167,Tolophon,38.368366,22.301941,most Greek,0.37,0-25 km sq,0,,not in Delian League
168,Tritea,38.403234,22.322506,most Greek,0.5,0-25 km sq,0,,not in Delian League
