Order,State,Democrat,Republican,Returns,Outcome
1,Alabama District 1,Kennedy 36.7,Byrne 63.3,-100%,GOP Hold
2,Alabama District 2,Isner 38.5,Roby 61.5,-100%,GOP Hold
3,Alabama District 3,Hagan 36.1,Rogers 63.9,-100%,GOP Hold
4,Alabama District 4,Auman 20.1,Aderholt 79.9,-100%,GOP Hold
5,Alabama District 5,Joffrion 38.9,Brooks 61.1,-100%,GOP Hold
6,Alabama District 6,Kline 30.6,Palmer 69.4,-98%,GOP Hold
7,Alabama District 7,Sewell 0.0,,0%,Dem Hold
9,Alaska District 1,,Young 54.2,-98%,GOP Hold
11,Arizona District 1,O'Halleran 53.3,Rogers 46.7,-99%,
12,Arizona District 2,Kirkpatrick 53.3,Marquez Peterson 46.7,-99%,Dem Pickup
13,Arizona District 3,Grijalva 61.4,Pierson 38.6,-98%,Dem Hold
14,Arizona District 4,Brill 29.8,Gosar 69.0,-99%,GOP Hold
15,Arizona District 5,Greene 40.0,Biggs 60.0,-100%,GOP Hold
16,Arizona District 6,Malik 43.6,Schweikert 56.4,-100%,GOP Hold
17,Arizona District 7,Gallego 84.3,,-100%,Dem Hold
18,Arizona District 8,Tipirneni 43.3,Lesko 56.7,-100%,GOP Hold
19,Arizona District 9,Stanton 59.5,Ferrara 40.5,-99%,Dem Hold
21,Arkansas District 1,Desai 28.7,Crawford 69.1,-100%,GOP Hold
22,Arkansas District 2,Tucker 45.8,Hill 52.2,-100%,GOP Hold
23,Arkansas District 3,Mahony 32.5,Womack 64.9,-98%,GOP Hold
24,Arkansas District 4,Shamel 31.2,Westerman 66.8,-100%,GOP Hold
26,California District 1,Denney 43.9,LaMalfa 56.1,-100%,GOP Hold
27,California District 2,Huffman 74.3,Mensing 25.7,-100%,Dem Hold
28,California District 3,Garamendi 57.2,Schaupp 42.8,-100%,Dem Hold
29,California District 4,Morse 44.7,McClintock 55.3,-100%,GOP Hold
30,California District 5,Thompson 78.0,,-100%,Dem Hold
31,California District 6,Matsui 79.7,,-100%,Dem Hold
32,California District 7,Bera 52.7,Grant 47.3,-100%,Dem Hold
33,California District 8,,Cook 60.3,-100%,GOP Hold
34,California District 9,McNerney 54.3,Livengood 45.7,-100%,Dem Hold
35,California District 10,Harder 49.4,Denham 50.6,-100%,
36,California District 11,DeSaulnier 71.9,Fitzgerald 28.1,-100%,Dem Hold
37,California District 12,Pelosi 85.5,Remmer 14.5,-100%,Dem Hold
38,California District 13,Lee 87.7,,-100%,Dem Hold
39,California District 14,Speier 76.4,Osmena 23.6,-100%,Dem Hold
40,California District 15,Swalwell 70.0,Peters 30.0,-100%,Dem Hold
41,California District 16,Costa 54.4,Heng 45.6,-100%,Dem Hold
42,California District 17,Khanna 72.5,Cohen 27.5,-100%,Dem Hold
43,California District 18,Eshoo 71.4,Russell 28.6,-100%,Dem Hold
44,California District 19,Lofgren 70.3,Aguilera 29.7,-100%,Dem Hold
45,California District 20,Panetta 79.0,,-100%,Dem Hold
46,California District 21,Cox 46.3,Valadao 53.7,-100%,GOP Hold
47,California District 22,Janz 44.2,Nunes 55.8,-100%,GOP Hold
48,California District 23,Matta 33.5,McCarthy 66.5,-100%,GOP Hold
49,California District 24,Carbajal 56.0,Fareed 44.0,-100%,Dem Hold
50,California District 25,Hill 51.3,Knight 48.7,-100%,
51,California District 26,Brownley 59.4,Sabato 40.6,-100%,Dem Hold
52,California District 27,Chu 78.4,,-100%,Dem Hold
53,California District 28,Schiff 76.4,Nalbandian 23.6,-100%,Dem Hold
54,California District 29,Cardenas 79.2,Bernal 20.8,-100%,Dem Hold
