Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.9848803,171.319797,175.3441296,168.781911,163.2673599,164.5912037,145.0728795,139.0219564,134.3349949,133.9600844,133.6532435,146.4810066,143.4648997,142.3633069,141.1872875,140.0629095,136.3187909,157.2084156,,,,,
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.15702673,12.55060975,14.22764458,26.03551156,26.94444789,32.6710826,27.1428574,20.98273533,24.11003301,25.07886415,21.72811013,27.06313748,32.86908099,27.69230878,28.86598014,26.94835763,28.08695662,26.48607976,24.71380408,,,,,,,,,,,,,,,,,,,,,,,,97.67442275,137.9010395,121.1358187,104.8624006,100.5553494,76.17376109,73.06552024,56.90681742,54.9673281,50.30122207,44.65924776,56.06566994,52.87356361,53.21008038,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,66.66666667,66.66666667,50,142.3076923,109.2936803,161.2060626,,152.1100715,137.6737442,129.8674995,178.9937855,152.4556525,150.3355064,128.7953207,130.4368567,124.2064353,139.5766054,118.6078717,117.4738144,127.5449782,110.3162887,105.3377069,107.5156507,102.0528309,95.0689515,88.45075147,75.09716269,
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,45.82507495,44.49760558,43.25253868,39.00562196,36.79042982,34.68540615,30.5250142,31.02880802,35.60030574,38.65852973,38.06578311,34.81638627,100.0026865,77.71506891,50.30201214,46.98742199,43.22020295,43.93564974,45.48134083,48.029748,55.92042873,57.43036125,63.93424074,65.44062194,66.35782544,70.2953012,73.45504916,82.87242263,86.02737227,83.35956262,85.46456034,90.76286348,85.33851045,88.92961073,75.12550018,71.36953587,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,59.17298688,59.45090136,62.35934656,81.21089073,74.70676895,82.85912052,77.60472485,79.35851237,78.47695412,81.31666803,84.79932276,87.44514831,82.6387653,75.04057801,71.73295611,64.8090701,57.21133578,58.91615165,60.62808138,65.90036169,65.63756405,68.93262929,64.07367461,60.52624839,58.76941493,61.96492686,61.99259166,68.54553557,66.55310543,66.49204762,70.90499064,72.45763449,73.81305283,80.0105952,84.99503937,89.06867273,89.64475969,93.65641067,98.08371376,90.04486927,89.7994561,93.3614543,95.91721639,95.55981668,93.59410765,,
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226733,119.553124,119.4764149,136.7981529,148.513544,153.4619444,151.0004339,162.6262342,175.9606831,178.1595583,175.8747363,,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315153,18.13422545,19.77150099,21.50635817,23.3361447,23.34994435,21.38265679,22.62250234,21.85242285,41.7527513,40.64468975,40.69264612,40.41266517,40.25614971,40.76048294,40.2269429,33.90298765,34.7830968,35.00562716,30.3622409,29.22107905,28.22830049,22.93182166,
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.33571855,100.8658552,101.0767542,107.9731486,112.428831,86.11485496,79.22956159,78.54774452,71.84245314,70.56041951,73.91856775,71.61719663,75.9434196,82.18764655,75.03721018,72.03892547,62.60919306,58.33645838,55.70286212,58.47886987,66.14728669,71.11086512,75.96674339,76.55619579,75.38489858,70.99683409,
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
