stday,stmon,styear,dispnum3,hostlev
-9,7,1902,2,3
2,5,1913,3,3
15,5,1946,4,4
13,10,1951,7,4
-9,7,1856,8,5
29,12,1889,9,3
11,3,1938,11,4
11,3,1938,12,4
6,4,1863,13,4
15,10,1895,14,3
-9,1,1839,15,4
25,12,1897,16,3
15,1,1848,19,5
18,11,1945,20,3
21,11,1912,21,3
9,6,1940,22,4
-9,3,1939,23,4
2,8,1831,25,4
21,3,1948,26,4
25,7,1961,27,4
19,7,1961,28,4
6,10,1908,30,4
30,5,1900,31,5
29,12,1837,38,4
10,4,1928,40,4
27,5,1929,41,5
14,11,1897,43,4
11,2,1953,50,4
24,6,1950,51,5
22,8,1956,53,4
29,8,1923,55,4
15,2,1897,56,4
31,5,1853,57,5
28,1,1962,61,4
5,4,1826,64,3
1,7,1883,65,2
25,7,1934,67,3
-9,1,1900,68,3
25,3,1914,69,4
17,1,1850,71,4
18,9,1898,77,3
17,7,1847,78,3
25,3,1907,86,4
6,7,1870,88,5
21,9,1822,89,5
22,5,1887,91,2
18,2,1964,92,4
-9,10,1909,95,3
26,4,1886,96,4
13,12,1914,100,4
-9,3,1880,104,3
23,4,1895,106,3
7,4,1939,108,4
-9,9,1904,109,3
22,11,1934,111,5
7,9,1860,112,5
18,9,1860,113,5
12,9,1911,114,5
29,1,1859,115,5
12,3,1885,119,3
2,7,1853,121,3
25,6,1961,122,4
-9,4,1845,123,4
14,5,1958,125,3
-9,1,1853,126,3
3,3,1921,127,4
11,1,1905,128,4
18,9,1931,129,5
14,9,1899,131,3
11,1,1923,133,4
20,3,1939,134,4
31,10,1861,135,5
15,7,1913,136,4
4,5,1831,137,3
-9,12,1934,139,4
7,6,1880,141,3
18,7,1821,142,4
9,7,1854,144,4
5,1,1927,145,4
16,8,1827,146,4
-9,1,1821,147,4
22,4,1959,148,4
18,11,1856,149,3
2,5,1926,151,4
-9,12,1896,152,4
22,6,1833,153,3
26,9,1850,154,4
-9,2,1906,156,4
7,7,1937,157,5
21,2,1921,158,4
2,11,1903,159,4
21,3,1838,160,4
31,5,1904,164,3
2,11,1911,165,4
16,4,1908,166,4
10,3,1821,167,4
1,9,1939,169,4
7,1,1962,172,4
22,7,1958,173,4
7,3,1936,174,3
18,2,1849,175,5
15,8,1922,177,4
-9,4,1932,178,4
8,10,1939,179,5
29,6,1903,180,5
8,1,1935,182,4
11,5,1939,183,5
9,7,1938,184,5
17,10,1956,185,4
12,7,1920,186,2
31,10,1876,187,5
-9,11,1827,189,5
18,12,1888,191,4
17,4,1863,194,5
4,2,1893,196,5
21,11,1917,197,4
1,9,1848,198,3
2,11,1961,199,5
1,9,1955,200,5
14,4,1883,202,5
23,6,1959,203,4
-9,1,1858,207,4
10,3,1953,208,4
28,7,1936,210,4
2,4,1920,211,4
-9,2,1888,212,3
25,7,1870,220,3
4,11,1865,224,3
7,11,1861,225,4
13,3,1861,227,4
-9,3,1881,228,3
29,4,1919,230,4
26,4,1849,231,4
4,7,1940,235,5
6,10,1849,236,3
28,12,1899,237,4
10,5,1913,238,3
5,5,1923,241,4
21,10,1904,242,4
22,4,1960,246,4
-9,1,1905,247,3
31,1,1932,248,3
-9,5,1910,249,3
4,12,1945,252,3
1,5,1960,253,4
23,7,1902,254,4
31,10,1873,256,4
23,7,1914,257,5
25,3,1939,258,5
3,6,1956,259,4
26,9,1914,260,4
3,4,1865,261,5
5,9,1944,262,4
-9,11,1835,301,3
20,4,1854,304,3
17,9,1860,306,3
6,5,1877,307,3
25,3,1898,309,3
-9,10,1905,310,3
2,4,1908,311,3
-9,11,1910,312,4
15,3,1910,313,3
2,10,1911,314,3
1,7,1911,315,3
16,1,1912,316,4
2,11,1912,317,3
25,8,1914,320,5
10,3,1916,321,4
13,5,1916,322,4
6,6,1916,323,4
7,3,1915,324,5
16,3,1920,327,4
16,9,1922,328,4
30,8,1937,336,4
14,12,1938,337,4
2,4,1940,339,5
2,10,1966,343,4
23,5,1967,345,3
23,4,1968,346,4
23,1,1968,347,4
2,3,1969,349,4
14,2,1969,350,4
1,1,1969,352,4
6,10,1973,353,3
1,9,1972,354,4
15,1,1974,355,4
12,5,1975,356,4
20,10,1975,358,4
-9,10,1975,360,3
3,2,1976,361,4
19,6,1976,362,4
4,2,1976,363,4
14,3,1974,364,4
6,9,1976,365,4
27,8,1821,366,3
20,7,1828,367,4
15,9,1832,368,4
28,8,1830,370,3
-9,1,1842,371,2
-9,1,1846,373,3
23,3,1848,374,4
1,4,1848,375,5
-9,4,1852,377,3
24,3,1898,378,2
24,3,1898,379,4
10,5,1856,380,4
19,11,1864,381,3
6,9,1898,391,4
13,9,1914,394,4
-9,2,1916,395,5
14,8,1916,396,5
17,8,1914,397,5
10,2,1915,398,4
9,10,1916,399,5
5,4,1917,400,4
-9,9,1931,407,3
31,5,1937,409,4
23,9,1938,410,3
10,4,1941,414,5
21,5,1940,418,5
30,4,1941,420,4
12,10,1941,421,4
5,2,1831,501,2
12,2,1864,502,3
23,9,1939,503,4
-9,2,1940,504,4
10,6,1940,505,4
12,7,1881,506,3
25,4,1882,507,3
5,8,1866,509,2
2,4,1920,510,4
24,2,1899,511,3
-9,3,1941,518,5
22,7,1917,521,4
8,5,1918,522,4
16,8,1941,523,4
12,11,1972,602,4
2,8,1946,603,3
-9,7,1949,604,4
30,7,1956,605,4
20,10,1956,606,5
13,4,1957,607,4
7,11,1958,608,4
22,10,1962,610,4
23,2,1964,611,5
27,2,1921,612,3
29,7,1940,613,5
23,2,1944,614,4
1,11,1935,616,4
4,2,1942,617,3
15,11,1975,619,4
5,1,1939,620,2
