Folder Name,Views and Downloads,Minutes Delivered,Average Minutes Delivered,Percent Completed,Last View Time,Last Position
Lecture1,1,10.30797465,10.30797465,72,10/2/20 0:25,618.478479
Lecture1,1,18.21885088,18.21885088,95,10/5/20 22:00,1188.664896
Lecture1,1,5.323012017,5.323012017,65,10/5/20 23:35,479.053065
Lecture1,2,0.055071183,0.027535592,1,10/5/20 23:35,3.304271
Lecture2,1,6.875658383,6.875658383,33,10/1/20 14:58,412.749137
Lecture2,2,0.855919917,0.427959958,9,10/1/20 14:59,50.372919
Lecture3,1,19.88724535,19.88724535,98,10/7/20 20:26,1196.528815
Lecture3,1,27.85964787,27.85964787,100,10/7/20 21:41,1671.578872
Lecture3,1,28.06127082,28.06127082,100,10/7/20 21:37,1504.929451
Lecture3,1,1.433933333,1.433933333,100,10/7/20 23:15,86.78581667
Lecture3,1,11.35295696,11.35295696,37,10/7/20 23:17,681.1774174
Lecture4,1,7.019123049,7.019123049,37,10/7/20 23:12,370.4039169
Background,3,6.939720858,2.313240286,100,10/3/20 11:20,202.8037715
Background,2,14.0731202,7.0365601,94,10/1/20 15:16,803.428171
Lecture1,2,13.17372205,6.586861025,68,9/28/20 13:42,1132.58799
Lecture1,1,5.361333433,5.361333433,66,9/28/20 13:49,517.824587
Lecture1,2,6.84971065,3.424855325,100,9/28/20 14:21,342.413805
Lecture1,3,13.95286227,4.650954089,93,9/28/20 14:21,841.313003
Lecture1,1,1.715659783,1.715659783,28,9/28/20 14:17,423.960919
Lecture2,1,21.33958333,21.33958333,100,9/30/20 11:26,1280.816853
Lecture2,1,10.4025,10.4025,100,9/30/20 11:47,625.214622
Lecture2,1,16.15329915,16.15329915,100,9/30/20 12:02,969.283272
Lecture2,1,8.869386967,8.869386967,98,9/30/20 12:27,532.511463
Lecture3,3,20.2200804,6.7400268,99,10/5/20 21:47,983.657512
Lecture3,2,14.14401317,7.072006583,60,10/5/20 22:03,1533.425355
Lecture3,5,23.12766272,4.625532543,92,10/5/20 21:35,340.493855
Lecture3,2,0.527469767,0.263734883,17,10/5/20 22:04,236.297058
Lecture3,2,1.4855929,0.74279645,23,10/5/20 22:08,486.568316
Lecture3,2,0.615717867,0.307858933,18,10/5/20 22:05,261.598076
Lecture3,2,0.937643333,0.468821667,66,10/5/20 22:09,86.802392
Lecture3,2,12.88122137,6.440610683,50,10/5/20 22:16,1880.818881
Lecture4,1,17.43352268,17.43352268,100,10/7/20 9:42,976.10891
Lecture4,2,8.266479433,4.133239717,100,10/7/20 9:47,452.444075
Lecture4,1,27.13777007,27.13777007,100,10/7/20 10:02,1462.828434
Lecture4,1,16.4651338,16.4651338,71,10/7/20 10:22,1571.676473
Lecture4,2,8.232133683,4.116066842,100,10/7/20 10:32,491.273646
Lecture5,3,14.30928708,4.769762361,100,10/7/20 18:31,437.514005
Lecture5,2,18.10283928,9.051419642,85,10/7/20 18:25,1257.617115
Lecture5,1,6.406692783,6.406692783,100,10/7/20 19:12,384.596567
Lecture5,1,2.522907617,2.522907617,100,10/7/20 19:16,151.446457
Lecture5,1,3.883586083,3.883586083,100,10/7/20 19:21,233.315681
Lecture5,1,8.061505933,8.061505933,100,10/7/20 19:32,385.757784
Lecture5,1,11.03522967,11.03522967,100,10/7/20 19:33,703.960403
Lecture2,1,20.7622173,20.7622173,93,10/8/20 4:52,1180.777644
Lecture2,1,16.14801228,16.14801228,100,10/8/20 5:00,969.177247
Lecture2,1,0.362862317,0.362862317,5,10/8/20 5:14,21.771739
Background,2,3.599907483,1.799953742,100,10/7/20 12:48,138.15499
Background,2,3.750187883,1.875093942,27,10/7/20 12:50,225.130194
Lecture1,2,20.47101917,10.23550958,100,9/28/20 22:45,1189.08548
Lecture1,1,9.446778733,9.446778733,100,9/28/20 22:53,517.784427
Lecture1,2,8.54726765,4.273633825,100,10/7/20 21:49,98.670738
Lecture1,1,15.89100308,15.89100308,100,9/28/20 23:22,869.542061
Lecture1,1,7.335107083,7.335107083,100,9/28/20 23:26,440.412879
Lecture2,1,21.33434468,21.33434468,100,9/30/20 20:54,1280.281241
Lecture2,2,8.49375635,4.246878175,83,9/30/20 21:03,624.963663
Lecture2,1,16.14947723,16.14947723,100,9/30/20 21:15,969.407909
Lecture2,1,8.863719317,8.863719317,100,9/30/20 21:15,532.56685
Lecture3,3,65.25788652,21.75262884,100,10/7/20 22:15,1189.877612
Lecture3,1,30.78170922,30.78170922,100,10/7/20 21:45,1670.919713
Lecture3,3,55.14839612,18.38279871,100,10/7/20 22:47,1504.732818
Lecture3,1,8.34271045,8.34271045,100,10/7/20 22:53,236.28524
Lecture3,1,19.28051038,19.28051038,100,10/7/20 23:04,488.749868
Lecture3,1,6.812168233,6.812168233,100,10/7/20 23:10,270.139574
Lecture3,1,2.112316867,2.112316867,100,10/7/20 23:59,70.578738
Lecture3,2,44.47760108,22.23880054,100,10/8/20 0:03,1333.579363
Lecture4,1,17.12485515,17.12485515,100,10/8/20 1:02,1002.86395
Lecture4,1,9.446554583,9.446554583,100,10/8/20 1:17,452.386468
Lecture4,1,22.8447123,22.8447123,93,10/8/20 1:33,1449.786914
Lecture4,1,26.36101383,26.36101383,100,10/8/20 1:49,1571.789728
Lecture4,1,8.181453017,8.181453017,100,10/8/20 1:53,491.444117
Background,2,3.558154017,1.779077008,100,9/29/20 1:14,213.562975
Background,1,13.21640415,13.21640415,93,9/29/20 1:23,794.945455
Lecture1,5,27.69567773,5.539135547,100,9/25/20 17:12,1185.542037
Lecture1,2,8.50864125,4.254320625,89,9/25/20 17:55,404.297804
Lecture1,3,14.52394115,4.841313717,76,9/25/20 18:13,869.766288
Lecture1,4,6.526603117,1.631650779,90,9/27/20 13:55,434.778053
Lecture2,3,24.61682493,8.205608311,92,9/30/20 18:30,1207.053567
Lecture2,6,8.6031683,1.433861383,76,9/30/20 18:49,79.053478
Lecture2,4,16.1067807,4.026695175,97,9/30/20 20:24,969.294556
Lecture2,2,2.1889226,1.0944613,36,9/30/20 20:32,531.39538
Lecture3,1,14.04827972,14.04827972,83,10/5/20 13:40,1189.37387
Lecture3,1,8.848446083,8.848446083,37,10/5/20 17:24,1654.218383
Lecture3,1,19.56929672,19.56929672,85,10/5/20 14:20,1504.349568
Lecture3,1,2.666841483,2.666841483,70,10/5/20 17:27,232.017216
Lecture3,1,2.744095183,2.744095183,44,10/5/20 17:31,481.121885
Lecture3,1,0.83240615,0.83240615,27,10/5/20 17:33,266.959636
Lecture3,1,0.91911375,0.91911375,63,10/5/20 17:43,86.726983
Lecture3,1,13.5018919,13.5018919,61,10/5/20 19:17,1851.634444
Lecture4,2,5.378627817,2.689313908,56,10/7/20 11:56,998.141762
Lecture4,2,2.645363767,1.322681883,44,10/7/20 12:02,56.088613
Lecture4,2,14.97737755,7.488688775,70,10/7/20 12:23,1459.332614
Lecture4,2,12.04144672,6.020723358,68,10/7/20 13:49,1537.263408
Lecture4,2,4.8437621,2.42188105,64,10/7/20 13:54,491.186233
Background,1,3.546791583,3.546791583,100,9/23/20 19:36,212.910916
Background,1,15.38915733,15.38915733,100,9/23/20 20:15,855.560088
Lecture1,1,20.1158824,20.1158824,100,9/26/20 12:54,1188.912842
Lecture1,1,8.713719489,8.713719489,100,9/26/20 13:06,517.8920627
Lecture1,1,6.735605359,6.735605359,100,9/28/20 13:58,404.4379166
Lecture1,1,13.66977681,13.66977681,99,9/28/20 14:11,869.8086342
Lecture1,2,9.860448951,4.930224475,100,9/28/20 14:25,440.3758992
Lecture3,2,19.91820852,9.95910426,100,10/7/20 10:29,1196.553349
Lecture3,1,28.02301779,28.02301779,100,10/8/20 7:47,1671.735241
Lecture3,1,20.67958209,20.67958209,76,10/7/20 11:01,1141.027184
Lecture3,1,1.433933333,1.433933333,100,10/10/20 12:34,86.74759107
Lecture3,2,31.31391253,15.65695626,100,10/10/20 14:23,1879.575388
Background,1,2.02427868,2.02427868,19,9/29/20 6:02,202.504936
Lecture1,1,20.35084593,20.35084593,100,9/28/20 13:08,1188.68461
Lecture1,1,8.463831533,8.463831533,99,9/28/20 13:15,517.998767
Lecture1,1,6.739351017,6.739351017,100,9/28/20 13:25,404.286127
Lecture1,1,16.49124172,16.49124172,100,9/28/20 13:39,869.740886
Lecture1,1,7.318591767,7.318591767,100,9/28/20 13:41,439.318006
Lecture2,1,21.59489148,21.59489148,100,9/30/20 16:12,1280.647363
Lecture2,1,10.39399713,10.39399713,100,9/30/20 16:22,626.57221
Lecture2,1,16.15225722,16.15225722,100,9/30/20 16:34,969.481565
Lecture2,1,8.862533333,8.862533333,100,9/30/20 16:39,532.450472
Lecture3,1,19.94805688,19.94805688,100,10/5/20 13:32,1196.667203
Lecture3,1,27.74727087,27.74727087,100,10/5/20 14:27,1656.956006
Lecture3,1,25.06115555,25.06115555,100,10/5/20 13:59,1504.637187
Lecture3,1,3.921284317,3.921284317,100,10/5/20 14:32,236.634094
Lecture3,1,8.1350936,8.1350936,100,10/5/20 15:37,489.824399
Lecture3,1,4.496267333,4.496267333,100,10/5/20 15:38,269.93704
Lecture3,1,1.430416667,1.430416667,100,10/5/20 15:42,86.716728
Lecture3,1,24.48313788,24.48313788,80,10/5/20 15:57,1817.599526
Lecture4,1,16.70705202,16.70705202,100,10/6/20 15:53,1002.935663
Lecture4,1,7.535434467,7.535434467,100,10/6/20 16:02,452.366818
Lecture4,1,24.36818327,24.36818327,100,10/6/20 16:15,1462.903057
Lecture4,1,8.301044567,8.301044567,36,10/6/20 16:26,1287.278158
Lecture4,1,6.785580233,6.785580233,83,10/6/20 16:26,407.315814
Lecture1,2,13.78714133,6.893570667,74,9/28/20 1:06,1188.647995
Lecture1,2,9.020289967,4.510144983,96,9/28/20 1:29,517.742355
Lecture1,1,6.554009067,6.554009067,98,9/28/20 4:13,404.281828
Lecture1,1,14.55788483,14.55788483,100,9/28/20 4:22,869.518399
Lecture1,1,4.975428283,4.975428283,80,9/28/20 4:26,438.246438
Lecture2,2,21.95721488,10.97860744,97,9/30/20 3:46,1280.308114
Lecture2,1,11.04419333,11.04419333,100,9/30/20 4:02,626.152809
Lecture2,1,16.27208505,16.27208505,100,9/30/20 4:20,969.228758
Lecture2,1,7.567035917,7.567035917,88,9/30/20 4:36,532.555228
Lecture3,1,20.5629926,20.5629926,99,10/3/20 22:18,1186.652383
Lecture3,1,11.77131913,11.77131913,45,10/4/20 3:56,913.561514
Lecture3,2,19.05010385,9.525051925,77,10/4/20 3:18,1227.190525
Lecture3,1,3.6650732,3.6650732,95,10/4/20 4:03,237.143088
Lecture3,1,3.30519785,3.30519785,48,10/4/20 4:07,485.42918
Lecture3,1,4.038807617,4.038807617,92,10/4/20 4:12,269.811939
