,VILLAGE_NAME_ENG,MISTI_PROV_CODE,MISTI_DIST_CODE,CENTER,POPULATION,LANGUAGE,LANG_CODE,ELEVATION,LAT_Y,LON_X
1,Enjergay,ZBL,QLT,NA,0,Pashto,2,1716.072021,32.25638,66.71265
2,Nekbal,KST,MZI,NA,0,Pashto,2,1339.345947,33.3175,69.7421
3,Bar Khankhel,KST,MZI,NA,0,Pashto,2,1314.277954,33.3011,69.7749
4,Jarya,HLM,KJK,NA,0,Pashto,2,1021.958984,32.3822,65.1318
5,Shahrak (2),FAR,BLB,NA,0,Pashto,2,865.8900146,32.5832,62.7519
6,Mandeta,KST,JMN,NA,0,Pashto,2,1623.416016,33.6983,70.0807
7,Other,KST,JMN,NA,0,Pashto,2,1559.348999,33.6886,70.1071
8,Other,KUN,KKU,NA,0,Pashto,2,1367.31604,34.62,70.989
9,Pich Korona (2),KUN,KKU,NA,354,Pashto,2,729.4943237,34.645,70.8987
10,Other,LGR,KSI,NA,0,Pashto,2,3062.826904,33.9898,69.3347
11,Khuni Khola,PKY,LAK,NA,0,Pashto,2,2050.49292,33.8366,69.6041
12,Haydarkhel,KST,MZI,NA,0,Pashto,2,1227.232056,33.3232,69.8555
13,Wakil Rustam Kalay,KND,PJW,NA,0,Pashto,2,899.8209229,31.4453,65.2915
14,Lalmay,KST,TNI,NA,0,Pashto,2,1290.848999,33.2649,69.8224
15,Sadak,KST,TZY,NA,0,Pashto,2,931.5507202,33.314,70.2066
16,Sayidan Kalay (2),HLM,NIS,NA,1918,Pashto,2,841.059082,31.82386,64.63544
17,Awghani,HLM,NIS,NA,0,Pashto,2,966.8809204,31.9563,64.8776
18,Besh Qutan,KDZ,DAR,NA,0,Pashto,2,429.315094,36.9959,69.1088
19,Gul Bulaq,KDZ,DAR,NA,0,Uzbek,3,918.5366211,36.8327,69.2504
20,Other,GOR,CHN,NA,0,Dari,1,2698.13208,34.6779,65.2591
21,Chaharikar (2),PWN,CHR,NA,0,Dari,1,1632.02002,35.0226,69.1623
22,Dashte Opyan,PWN,CHR,NA,0,Dari,1,1506.848022,34.9938,69.1886
23,Other,FAR,KSD,NA,0,Dari,1,985.3781128,32.8248,62.0867
24,Salam Khel,GZN,KHU,NA,0,Dari,1,2526.574951,33.6521,68.3153
25,Mohammad Shah (1),PWN,SAL,NA,0,Dari,1,2621.909912,35.2946,69.1488
26,Qala Now Sar Raig (2),GZN,GAZ,NA,1135,Dari,1,2175.706055,33.53687,68.41527
27,Gharaw Qeshlaq,KDZ,CHD,NA,0,Dari,1,399.7107849,36.6607,68.829
28,Kakaran (3),KND,ZHR,NA,0,Pashto,2,904.5977783,31.4816,65.30509
29,Armah,PKY,ZRM,NA,0,Pashto,2,2223.979004,33.3142,69.04
30,Zaker-e Sharif,KND,DND,NA,0,Pashto,2,992.3430176,31.54345,65.75155
31,La'liwal,GZN,AND,NA,0,Pashto,2,2073.727051,33.3189,68.4946
32,Naw Khiz,ZBL,QLT,NA,733,Pashto,2,1598.656006,32.0893,66.79675
33,Hazari,ZBL,QLT,NA,1029,Pashto,2,1611.353027,32.11301,66.90993
34,Gabro,ZBL,QLT,NA,0,Pashto,2,1572.832031,32.1217,66.92344
35,Mohammad Tahir,ZBL,QLT,NA,162,Pashto,2,1559.866943,32.10196,66.91079
36,Senjaray,KND,ZHR,NA,0,Pashto,2,976.3203735,31.6193,65.5293
37,Other,BGL,PLK,NA,0,Pashto,2,593.6077271,36.0116,68.6582
38,Chahar Tut,KDZ,KNB,NA,0,Dari,1,474.853302,36.6454,69.1149
39,Arab-ha (1),KDZ,KDZ,NA,123,Dari,1,412.737915,36.67274,68.92952
40,Sarwar Kala,PKY,ADD,NA,0,Pashto,2,2446.544922,33.6948,69.3499
41,Mohammad Beg,KND,SWK,NA,0,Pashto,2,1271.166016,31.97,66.1702
42,Paryan,KND,SWK,NA,0,Pashto,2,1658.363037,32.21468,65.93778
43,Lwar Kundalan,KND,SWK,NA,0,Pashto,2,1684.31604,32.1703,65.92809
44,Shah Wali Kot,KND,SWK,NA,0,Pashto,2,1057.817017,31.78881,65.75691
45,Shahr Khalil Sufla,HRT,KRB,NA,1145,Dari,1,822.7476807,35.0585,62.2935
46,Dahana Chap Ghol,HRT,KRB,NA,649,Pashto,2,818.7020874,35.1916,62.2702
47,Bar Jang Haidar Bai,HRT,KRB,NA,373,Pashto,2,722.2567749,35.2192,62.2172
48,Khowja Jer,HRT,KRB,NA,2268,Pashto,2,745.5015869,35.1586,62.2849
49,Puza Aw,HRT,KRB,NA,0,Pashto,2,812.5883789,35.0607,62.3096
50,Chah Talkh (1),HRT,KRB,NA,643,Pashto,2,734.1921997,35.08761,62.4412
51,Chaharbagh,HLM,KJK,NA,0,Pashto,2,1039.594971,32.4119,65.0549
52,Toraghundi,HRT,KRB,NA,0,Pashto,2,684.3289795,35.2391,62.2808
53,Yak Toot,HRT,KRB,NA,1162,Pashto,2,795.3051758,35.0815,62.3136
54,Sang Bar Bala,HRT,KRB,NA,283,Pashto,2,867.8646851,35.0349,62.3105
55,Nahr Ali Shahi Popalzaye,HRT,KRB,NA,575,Pashto,2,859.2338867,35.0554,62.3161
56,Dahan Doghi Noor Zaiye,HRT,KRB,NA,650,Pashto,2,807.5507813,35.0791,62.3028
57,Chahel Dukhtar Wakil Hassan,HRT,KRB,NA,1162,Pashto,2,890.6630859,35.0969,62.3358
58,Mohammad Karim Baik Sufla,HRT,KRB,NA,1006,Dari,1,821.2175903,35.0705,62.4519
59,Ajraim,HRT,KRB,NA,3245,Pashto,2,717.1508789,35.1174,62.4256
60,Chahel Dukhtaran Mir Hamza,HRT,KRB,NA,1976,Pashto,2,808.430481,35.1174,62.3044
61,Dahan Doghi Ishaq Zai,HRT,KRB,NA,712,Dari,1,873.9714966,35.1056,62.2987
62,Chahel Dukhtar Haji Shair Khan,HRT,KRB,NA,1047,Pashto,2,851.6663208,35.1097,62.3357
63,Shor Baraik,HRT,KRB,NA,503,Pashto,2,798.2581177,35.0501,62.4236
64,Lajaward Majid,HRT,KRB,NA,427,Pashto,2,756.2255249,35.1174,62.4576
65,Chahel Dukharan Mullator,HRT,KRB,NA,1171,Pashto,2,775.1768799,35.1269,62.2925
66,Mohammad Karim Baik Hulya,HRT,KRB,NA,935,Pashto,2,737.3602295,35.0774,62.4253
67,Chah Sawal,HRT,ZDJ,NA,264,Pashto,2,995.8814697,34.483,61.7711
68,Shair Mohammad Agha,HRT,ZDJ,NA,157,Pashto,2,1107.234009,34.6121,61.6967
69,Khowja Rashid Khan,HRT,GHN,NA,390,Pashto,2,1026.754028,34.6048,61.6347
70,Shor Abak,HRT,GHN,NA,168,Pashto,2,1124.042969,34.2345,61.6553
71,Gologa,FAR,ANA,NA,0,Pashto,2,841.4927979,33.355,61.2537
72,Kalateh-ye Nazar Khan,FAR,ANA,NA,0,Pashto,2,683.0709229,33.4645,60.8665
73,Daghal,FAR,ANA,NA,140,Pashto,2,855.8319092,32.8045,61.4482
74,Gora Safid,FAR,ANA,NA,235,Pashto,2,918.6582031,32.9877,61.3194
75,Kala Chah,FAR,ANA,NA,169,Pashto,2,920.0294189,33.0001,61.3302
76,Now Abad,FAR,BKA,NA,638,Dari,1,696.6069946,32.0161,62.8193
77,Lokhi,NRZ,KRD,NA,669,Pashto,2,601.2529907,31.6273,62.8806
78,Sayid Abad,NRZ,KRD,NA,145,Dari,1,601.9801025,31.6227,62.8661
79,Khash Rod,NRZ,KRD,District,500,Pashto,2,602.944397,31.6265,62.8801
80,Khwaja Malekyar,NRZ,KRD,NA,0,Balochi,5,619.2421265,31.6515,62.9372
81,Burj,NRZ,KRD,NA,774,Balochi,5,629.9998779,31.7019,63.0129
82,Dewalak,NRZ,KRD,NA,618,Pashto,2,622.6157837,31.6717,63.0046
83,Gero,NRZ,KRD,NA,1136,Balochi,5,619.2064209,31.6568,62.9589
84,Kast,NRZ,KRD,NA,576,Balochi,5,623.8582764,31.6769,63.0167
85,Khai Ab Ad Afghanya,NRZ,KRD,NA,119,Balochi,5,637.0722046,31.7031,62.9703
86,Khakestari,NRZ,KRD,NA,99,Balochi,5,613.3673096,31.6386,62.9394
87,Landi,NRZ,KRD,NA,496,Pashto,2,636.4846191,31.7211,63.0013
88,Manzari,NRZ,KRD,NA,438,Balochi,5,613.7799072,31.6279,62.973
89,Sardar Hassan Khan,NRZ,KRD,NA,537,Balochi,5,628.1796265,31.5863,62.931
90,Mariz,NRZ,KRD,NA,243,Balochi,5,621.8961182,31.9978,62.5209
91,Alimkhan,NRZ,ZRJ,NA,0,Balochi,5,486.1325989,31.0398,61.8835
92,A'zamkhan,NRZ,KNG,NA,0,Balochi,5,483.7738953,31.0967,61.8446
93,Abdullahkhan (1),NRZ,KNG,NA,0,Balochi,5,482.2081909,31.1064,61.8733
94,Abdullahkhan (2),NRZ,KNG,NA,0,Balochi,5,481.5856934,31.1632,61.8419
95,Abdulzaher,NRZ,KNG,NA,0,Balochi,5,487.1637878,31.0679,61.8627
96,Ahmadkhan,NRZ,KNG,NA,0,Balochi,5,480.9594116,31.1836,61.8492
97,Amir Mohd-khan (1),NRZ,KNG,NA,0,Balochi,5,484.4732056,31.1001,61.8669
98,Amir Mohd-khan (2),NRZ,KNG,NA,0,Balochi,5,480.7684937,31.1412,61.8447
