"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","flighttime","flighttime24","ChristmasEve"
"1",2013,1,1,1904,1905,-1,2139,2227,-48,"DL",2159,"N3758Y","JFK","MCO",133,944,19,5,2013-01-01 19:00:00,235,235,"Un-Christmas Eve"
"2",2013,1,1,1904,1905,-1,2157,2208,-11,"UA",1444,"N14242","EWR","TPA",150,997,19,5,2013-01-01 19:00:00,253,253,"Un-Christmas Eve"
"3",2013,1,1,1905,1900,5,2311,2301,10,"DL",853,"N727TW","JFK","SFO",361,2586,19,0,2013-01-01 19:00:00,406,406,"Un-Christmas Eve"
"4",2013,1,1,1906,1915,-9,2211,2244,-33,"DL",2391,"N922DL","JFK","TPA",159,1005,19,15,2013-01-01 19:00:00,305,305,"Un-Christmas Eve"
"5",2013,1,1,1909,1912,-3,2239,2237,2,"B6",87,"N559JB","JFK","SLC",291,1990,19,12,2013-01-01 19:00:00,330,330,"Un-Christmas Eve"
"6",2013,1,1,1909,1910,-1,2212,2224,-12,"DL",1629,"N6710E","JFK","LAS",323,2248,19,10,2013-01-01 19:00:00,303,303,"Un-Christmas Eve"
"7",2013,1,1,1910,1909,1,2126,2046,40,"EV",3807,"N13978","EWR","BNA",159,748,19,9,2013-01-01 19:00:00,216,216,"Un-Christmas Eve"
"8",2013,1,1,1910,1910,0,2126,2107,19,"9E",3359,"N925XJ","JFK","ORD",141,740,19,10,2013-01-01 19:00:00,216,216,"Un-Christmas Eve"
"9",2013,1,1,1910,1855,15,2118,2103,15,"US",1491,"N540UW","LGA","CLT",107,544,18,55,2013-01-01 18:00:00,208,208,"Un-Christmas Eve"
"10",2013,1,1,1911,1910,1,2050,2055,-5,"MQ",4569,"N737MQ","LGA","RDU",81,431,19,10,2013-01-01 19:00:00,139,139,"Un-Christmas Eve"
"11",2013,1,1,1912,1915,-3,2200,2219,-19,"DL",1485,"N917DL","LGA","MCO",142,950,19,15,2013-01-01 19:00:00,288,288,"Un-Christmas Eve"
"12",2013,1,1,1912,1908,4,2242,2257,-15,"UA",927,"N432UA","EWR","PHX",309,2133,19,8,2013-01-01 19:00:00,330,330,"Un-Christmas Eve"
"13",2013,1,1,1915,1920,-5,2238,2257,-19,"DL",6,"N633DL","JFK","SLC",281,1990,19,20,2013-01-01 19:00:00,323,323,"Un-Christmas Eve"
"14",2013,1,1,1915,1904,11,2242,2246,-4,"UA",1606,"N76503","EWR","SFO",351,2565,19,4,2013-01-01 19:00:00,327,327,"Un-Christmas Eve"
"15",2013,1,1,1916,1920,-4,2053,2100,-7,"AA",359,"N3CUAA","LGA","ORD",136,733,19,20,2013-01-01 19:00:00,137,137,"Un-Christmas Eve"
"16",2013,1,1,1919,1900,19,2125,2107,18,"EV",3267,"N14558","EWR","CLT",105,529,19,0,2013-01-01 19:00:00,206,206,"Un-Christmas Eve"
"17",2013,1,1,1921,1920,1,2315,2319,-4,"DL",541,"N375DA","JFK","PHX",314,2153,19,20,2013-01-01 19:00:00,394,394,"Un-Christmas Eve"
"18",2013,1,1,1923,1837,46,2139,2045,54,"EV",4125,"N23139","EWR","GRR",116,605,18,37,2013-01-01 18:00:00,216,216,"Un-Christmas Eve"
"19",2013,1,1,1923,1859,24,2239,2234,5,"B6",171,"N552JB","JFK","SMF",333,2521,18,59,2013-01-01 18:00:00,316,316,"Un-Christmas Eve"
"20",2013,1,1,1925,1930,-5,2037,2050,-13,"EV",5742,"N833AS","LGA","IAD",52,229,19,30,2013-01-01 19:00:00,112,112,"Un-Christmas Eve"
"21",2013,1,1,1925,1900,25,2259,2238,21,"DL",87,"N624AG","JFK","LAX",332,2475,19,0,2013-01-01 19:00:00,334,334,"Un-Christmas Eve"
"22",2013,1,1,1926,1910,16,2258,2215,43,"AA",2075,"N4XFAA","EWR","DFW",248,1372,19,10,2013-01-01 19:00:00,332,332,"Un-Christmas Eve"
"23",2013,1,1,1928,1930,-2,2117,2135,-18,"9E",4261,"N8611A","JFK","RDU",75,427,19,30,2013-01-01 19:00:00,189,189,"Un-Christmas Eve"
"24",2013,1,1,1929,1920,9,3,7,-4,"UA",1071,"N27205","EWR","BQN",192,1585,19,20,2013-01-01 19:00:00,-1926,474,"Un-Christmas Eve"
"25",2013,1,1,1930,1745,105,2233,2112,81,"DL",503,"N3764D","JFK","SAN",333,2446,17,45,2013-01-01 17:00:00,303,303,"Un-Christmas Eve"
"26",2013,1,1,1934,1725,129,2126,1855,151,"MQ",4255,"N909MQ","JFK","BNA",154,765,17,25,2013-01-01 17:00:00,192,192,"Un-Christmas Eve"
"27",2013,1,1,1935,1930,5,2223,2143,40,"EV",4085,"N12157","EWR","OMA",209,1134,19,30,2013-01-01 19:00:00,288,288,"Un-Christmas Eve"
"28",2013,1,1,1937,1905,32,2250,2225,25,"AA",21,"N327AA","JFK","LAX",332,2475,19,5,2013-01-01 19:00:00,313,313,"Un-Christmas Eve"
"29",2013,1,1,1938,1703,155,2109,1823,166,"EV",4300,"N18557","EWR","RIC",68,277,17,3,2013-01-01 17:00:00,171,171,"Un-Christmas Eve"
"30",2013,1,1,1939,1840,59,29,2151,NA,"9E",3325,"N905XJ","JFK","DFW",NA,1391,18,40,2013-01-01 18:00:00,-1910,490,"Un-Christmas Eve"
"31",2013,1,1,1939,1940,-1,2238,2240,-2,"AA",1787,"N3EGAA","JFK","TPA",158,1005,19,40,2013-01-01 19:00:00,299,299,"Un-Christmas Eve"
"32",2013,1,1,1940,1905,35,2033,2021,12,"UA",698,"N580UA","EWR","BOS",36,200,19,5,2013-01-01 19:00:00,93,93,"Un-Christmas Eve"
"33",2013,1,1,1941,1940,1,2231,2241,-10,"B6",381,"N632JB","LGA","FLL",152,1076,19,40,2013-01-01 19:00:00,290,290,"Un-Christmas Eve"
"34",2013,1,1,1942,1705,157,2124,1830,174,"MQ",4410,"N835MQ","JFK","DCA",60,213,17,5,2013-01-01 17:00:00,182,182,"Un-Christmas Eve"
"35",2013,1,1,1945,1940,5,2247,2231,16,"9E",3361,"N913XJ","JFK","JAX",129,828,19,40,2013-01-01 19:00:00,302,302,"Un-Christmas Eve"
"36",2013,1,1,1946,1930,16,2148,2134,14,"EV",4532,"N34110","EWR","CHS",106,628,19,30,2013-01-01 19:00:00,202,202,"Un-Christmas Eve"
"37",2013,1,1,1949,1859,50,2237,2153,44,"B6",711,"N640JB","JFK","LAS",309,2248,18,59,2013-01-01 18:00:00,288,288,"Un-Christmas Eve"
"38",2013,1,1,1952,1930,22,2358,2207,NA,"EV",4333,"N11194","EWR","TUL",NA,1215,19,30,2013-01-01 19:00:00,406,406,"Un-Christmas Eve"
"39",2013,1,1,1952,2000,-8,2314,2325,-11,"VX",415,"N640VA","JFK","LAX",349,2475,20,0,2013-01-01 20:00:00,362,362,"Un-Christmas Eve"
"40",2013,1,1,1952,1930,22,2257,2251,6,"UA",1416,"N76523","EWR","SEA",342,2402,19,30,2013-01-01 19:00:00,305,305,"Un-Christmas Eve"
"41",2013,1,1,1955,2000,-5,2145,2151,-6,"9E",3409,"N920XJ","JFK","PIT",76,340,20,0,2013-01-01 20:00:00,190,190,"Un-Christmas Eve"
"42",2013,1,1,1957,2005,-8,2100,2126,-26,"9E",4091,"N8598B","JFK","BWI",41,184,20,5,2013-01-01 20:00:00,143,143,"Un-Christmas Eve"
"43",2013,1,1,1957,1945,12,2307,2329,-22,"B6",645,"N652JB","JFK","SFO",337,2586,19,45,2013-01-01 19:00:00,350,350,"Un-Christmas Eve"
"44",2013,1,1,1957,2000,-3,2321,2310,11,"UA",299,"N817UA","EWR","DFW",233,1372,20,0,2013-01-01 20:00:00,364,364,"Un-Christmas Eve"
"45",2013,1,1,1959,1930,29,2331,2306,25,"DL",1181,"N319NB","JFK","SAT",251,1587,19,30,2013-01-01 19:00:00,372,372,"Un-Christmas Eve"
"46",2013,1,1,1959,2000,-1,2310,2307,3,"UA",1233,"N76514","EWR","IAH",232,1400,20,0,2013-01-01 20:00:00,351,351,"Un-Christmas Eve"
"47",2013,1,1,2000,1930,30,2255,2140,75,"EV",4361,"N12567","EWR","TYS",138,631,19,30,2013-01-01 19:00:00,255,255,"Un-Christmas Eve"
"48",2013,1,1,2000,2000,0,2054,2110,-16,"9E",3664,"N836AY","JFK","PHL",30,94,20,0,2013-01-01 20:00:00,54,54,"Un-Christmas Eve"
"49",2013,1,1,2002,1955,7,2306,2310,-4,"AA",1709,"N3GSAA","LGA","MIA",159,1096,19,55,2013-01-01 19:00:00,304,304,"Un-Christmas Eve"
"50",2013,1,1,2003,2000,3,2302,2311,-9,"UA",1680,"N11206","EWR","MIA",154,1085,20,0,2013-01-01 20:00:00,299,299,"Un-Christmas Eve"
"51",2013,1,1,2006,1630,216,2230,1848,222,"EV",4644,"N14972","EWR","SAV",121,708,16,30,2013-01-01 16:00:00,224,224,"Un-Christmas Eve"
"52",2013,1,1,2006,2000,6,2132,2130,2,"UA",1271,"N12218","LGA","ORD",126,733,20,0,2013-01-01 20:00:00,126,126,"Un-Christmas Eve"
"53",2013,1,1,2008,1855,73,2223,2100,83,"MQ",4649,"N527MQ","LGA","MSP",163,1020,18,55,2013-01-01 18:00:00,215,215,"Un-Christmas Eve"
"54",2013,1,1,2008,2015,-7,2206,2210,-4,"MQ",4555,"N734MQ","LGA","CMH",91,479,20,15,2013-01-01 20:00:00,198,198,"Un-Christmas Eve"
"55",2013,1,1,2009,1808,121,2145,1942,123,"EV",4440,"N14143","EWR","PIT",65,319,18,8,2013-01-01 18:00:00,136,136,"Un-Christmas Eve"
"56",2013,1,1,2012,2016,-4,2154,2158,-4,"UA",1204,"N24715","EWR","CLE",77,404,20,16,2013-01-01 20:00:00,142,142,"Un-Christmas Eve"
"57",2013,1,1,2013,2015,-2,2120,2130,-10,"AA",1762,"N3BNAA","JFK","BOS",35,187,20,15,2013-01-01 20:00:00,107,107,"Un-Christmas Eve"
"58",2013,1,1,2015,2005,10,2149,2144,5,"9E",3320,"N931XJ","JFK","BUF",62,301,20,5,2013-01-01 20:00:00,134,134,"Un-Christmas Eve"
